tess2018349182459-s0006-0000000282265535-0126-s_lc_det	6.95
tess2018234235059-s0002-0000000327996759-0121-s_lc_det	6.04
tess2018319095959-s0005-0000000034197596-0125-s_lc_det	6.75
tess2019006130736-s0007-0000000112484997-0131-s_lc_det	6.65
tess2019006130736-s0007-0000000270577175-0131-s_lc_det	6.95
tess2018234235059-s0002-0000000229139161-0121-s_lc_det	6.80
tess2019058134432-s0009-0000000463556278-0139-s_lc_det	7.02
tess2018319095959-s0005-0000000031475829-0125-s_lc_det	7.3
tess2019058134432-s0009-0000000287347434-0139-s_lc_det	7.05
tess2018263035959-s0003-0000000159895674-0123-s_lc_det	6.86
tess2019006130736-s0007-0000000284348793-0131-s_lc_det	7.08
tess2018319095959-s0005-0000000306773428-0125-s_lc_det	7.04
tess2018263035959-s0003-0000000231014033-0123-s_lc_det	7.30
tess2018319095959-s0005-0000000255548143-0125-s_lc_det	6.9
tess2018349182459-s0006-0000000032763133-0126-s_lc_det	7.35
tess2018349182459-s0006-0000000124429243-0126-s_lc_det	6.4
tess2018319095959-s0005-0000000009147509-0125-s_lc_det	6.15
tess2018349182459-s0006-0000000117766204-0126-s_lc_det	6.54
tess2019032160000-s0008-0000000176400189-0136-s_lc_det	6.64
tess2019058134432-s0009-0000000388351327-0139-s_lc_det	7.16
tess2018263035959-s0003-0000000122615966-0123-s_lc_det	5.9
tess2018319095959-s0005-0000000000589826-0125-s_lc_det	6.52
tess2018319095959-s0005-0000000246902545-0125-s_lc_det	6.10
tess2018319095959-s0005-0000000348792358-0125-s_lc_det	6.95
tess2018234235059-s0002-0000000281499618-0121-s_lc_det	7.17
tess2018349182459-s0006-0000000011361473-0126-s_lc_det	7.55
tess2018319095959-s0005-0000000071134596-0125-s_lc_det	7.56
tess2018263035959-s0003-0000000150272131-0123-s_lc_det	7.25
tess2019006130736-s0007-0000000278179191-0131-s_lc_det	6.96
tess2018263035959-s0003-0000000122686610-0123-s_lc_det	6.41
tess2018319095959-s0005-0000000349645354-0125-s_lc_det	5.34
tess2018319095959-s0005-0000000316920092-0125-s_lc_det	6.97
tess2018349182459-s0006-0000000037498433-0126-s_lc_det	7.10
tess2018319095959-s0005-0000000143381070-0125-s_lc_det	7.63
tess2018319095959-s0005-0000000259675399-0125-s_lc_det	6.41
tess2019006130736-s0007-0000000078492107-0131-s_lc_det	6.85
tess2018349182459-s0006-0000000011199304-0126-s_lc_det	5.96
tess2018319095959-s0005-0000000242944780-0125-s_lc_det	7.20
tess2018234235059-s0002-0000000316806320-0121-s_lc_det	5.63
tess2018349182459-s0006-0000000148228220-0126-s_lc_det	7.25
tess2018319095959-s0005-0000000044645679-0125-s_lc_det	6.23
tess2018349182459-s0006-0000000294157254-0126-s_lc_det	6.92
tess2019058134432-s0009-0000000260161111-0139-s_lc_det	7.27
tess2018263035959-s0003-0000000043363194-0123-s_lc_det	6.89
tess2018292075959-s0004-0000000274038922-0124-s_lc_det	7.20
tess2018349182459-s0006-0000000124381332-0126-s_lc_det	7.45
tess2018319095959-s0005-0000000100531058-0125-s_lc_det	6.9
tess2018349182459-s0006-0000000408906554-0126-s_lc_det	7.16
tess2018349182459-s0006-0000000034737955-0126-s_lc_det	6.03
tess2018319095959-s0005-0000000024344701-0125-s_lc_det	7.4
tess2018319095959-s0005-0000000459942890-0125-s_lc_det	7.16
tess2019032160000-s0008-0000000340358522-0136-s_lc_det	7.15
tess2018319095959-s0005-0000000431695696-0125-s_lc_det	7.26
tess2018234235059-s0002-0000000224284988-0121-s_lc_det	5.93
tess2019032160000-s0008-0000000332516661-0136-s_lc_det	5.90
tess2018349182459-s0006-0000000172193026-0126-s_lc_det	6.45
tess2019169103026-s0013-0000000269792989-0146-s_lc_det	6.74
